dorm_type,room_type,Housing portion,date
Standard Room Projected Rates,QUAD,"$10,835",2023-12-02
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-02-09
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-02-09
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-02-09
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-02-09
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-02-09
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-02-09
Room in Suite Projected Rates,SINGLE,"$20,255",2024-02-09
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-02-09
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-02-09
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-02-09
Room in Suite Projected Rates,QUAD,"$15,495",2024-02-09
Standard Room Projected Rates,SINGLE,"$17,990",2024-02-09
Standard Room Projected Rates,DOUBLE,"$15,565",2024-02-09
Standard Room Projected Rates,TRIPLE,"$12,675",2024-02-09
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-02-09
Standard Room Projected Rates,QUAD,"$11,325",2024-02-09
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-04-20
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-04-20
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-04-20
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-04-20
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-04-20
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-04-20
Room in Suite Projected Rates,SINGLE,"$20,255",2024-04-20
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-04-20
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-04-20
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-04-20
Room in Suite Projected Rates,QUAD,"$15,495",2024-04-20
Standard Room Projected Rates,SINGLE,"$17,990",2024-04-20
Standard Room Projected Rates,DOUBLE,"$15,565",2024-04-20
Standard Room Projected Rates,TRIPLE,"$12,675",2024-04-20
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-04-20
Standard Room Projected Rates,QUAD,"$11,325",2024-04-20
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-07-13
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-07-13
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-07-13
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-07-13
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-07-13
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-07-13
Room in Suite Projected Rates,SINGLE,"$20,255",2024-07-13
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-07-13
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-07-13
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-07-13
Room in Suite Projected Rates,QUAD,"$15,495",2024-07-13
Standard Room Projected Rates,SINGLE,"$17,990",2024-07-13
Standard Room Projected Rates,DOUBLE,"$15,565",2024-07-13
Standard Room Projected Rates,TRIPLE,"$12,675",2024-07-13
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-07-13
Standard Room Projected Rates,QUAD,"$11,325",2024-07-13
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-07-21
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-07-21
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-07-21
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-07-21
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-07-21
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-07-21
Room in Suite Projected Rates,SINGLE,"$20,255",2024-07-21
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-07-21
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-07-21
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-07-21
Room in Suite Projected Rates,QUAD,"$15,495",2024-07-21
Standard Room Projected Rates,SINGLE,"$17,990",2024-07-21
Standard Room Projected Rates,DOUBLE,"$15,565",2024-07-21
Standard Room Projected Rates,TRIPLE,"$12,675",2024-07-21
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-07-21
Standard Room Projected Rates,QUAD,"$11,325",2024-07-21
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-01
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-01
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-01
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-01
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-01
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-01
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-01
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-01
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-01
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-01
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-01
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-01
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-01
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-01
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-01
Standard Room Projected Rates,QUAD,"$11,325",2024-08-01
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-07
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-07
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-07
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-07
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-07
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-07
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-07
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-07
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-07
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-07
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-07
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-07
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-07
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-07
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-07
Standard Room Projected Rates,QUAD,"$11,325",2024-08-07
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-08
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-08
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-08
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-08
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-08
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-08
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-08
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-08
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-08
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-08
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-08
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-08
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-08
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-08
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-08
Standard Room Projected Rates,QUAD,"$11,325",2024-08-08
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-09
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-09
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-09
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-09
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-09
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-09
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-09
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-09
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-09
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-09
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-09
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-09
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-09
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-09
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-09
Standard Room Projected Rates,QUAD,"$11,325",2024-08-09
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-11
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-11
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-11
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-11
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-11
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-11
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-11
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-11
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-11
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-11
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-11
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-11
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-11
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-11
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-11
Standard Room Projected Rates,QUAD,"$11,325",2024-08-11
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-12
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-12
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-12
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-12
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-12
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-12
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-12
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-12
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-12
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-12
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-12
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-12
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-12
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-12
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-12
Standard Room Projected Rates,QUAD,"$11,325",2024-08-12
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-13
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-13
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-13
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-13
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-13
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-13
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-13
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-13
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-13
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-13
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-13
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-13
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-13
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-13
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-13
Standard Room Projected Rates,QUAD,"$11,325",2024-08-13
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-20
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-20
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-20
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-20
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-20
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-20
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-20
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-20
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-20
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-20
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-20
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-20
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-20
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-20
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-20
Standard Room Projected Rates,QUAD,"$11,325",2024-08-20
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-22
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-22
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-22
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-22
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-22
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-22
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-22
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-22
Room in Suite Projected Rates,DOUBLE (in Stern),"$16,515",2024-08-22
Room in Suite Projected Rates,TRIPLE,"$17,295",2024-08-22
Room in Suite Projected Rates,QUAD,"$15,495",2024-08-22
Standard Room Projected Rates,SINGLE,"$17,990",2024-08-22
Standard Room Projected Rates,DOUBLE,"$15,565",2024-08-22
Standard Room Projected Rates,TRIPLE,"$12,675",2024-08-22
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-22
Standard Room Projected Rates,QUAD,"$11,325",2024-08-22
